employee,department
Lisa,HR
Valerie,HR
David,Sales
Michael,Sales
Jake,Engineering
Elizabeth,Sales
Michelle,Engineering
Steven,HR
Andre,HR
Bradley,Marketing
Katrina,HR
William,Marketing
Mark,Marketing
Christine,HR
Claudia,HR
Sherry,Sales
Courtney,HR
Katie,Marketing
Edward,Marketing
Dillon,Sales
Wendy,Marketing
Diane,Engineering
Jennifer,Engineering
Alexis,Marketing
Denise,Engineering
Scott,Sales
Joy,Marketing
Kristen,Sales
Amanda,Marketing
Eugene,Engineering
Marie,Marketing
Christopher,Engineering
Kristi,Marketing
Sabrina,HR
Jamie,Sales
Danielle,Marketing
Alejandro,Sales
Bridget,Engineering
Katherine,Marketing
Julie,Marketing
Sherri,Marketing
Patricia,HR
Charles,HR
John,Marketing
Maria,Sales
Kelly,Sales
Darrell,Sales
Erika,HR
Dawn,Engineering
Sean,Marketing
